"","Meaning","NineEnd","Age"
"1",4,0,38
"3",3,0,48
"4",4,0,28
"6",3,0,54
"7",4,0,44
"10",4,0,60
"11",4,0,27
"12",4,0,35
"14",2,0,33
"15",4,0,46
"16",3,0,41
"17",4,1,59
"18",1,0,26
"20",3,0,35
"21",2,0,38
"22",4,0,41
"23",4,0,45
"26",3,0,46
"27",3,0,31
"29",3,0,44
"30",4,0,56
"31",3,1,29
"32",4,0,30
"33",4,0,26
"34",3,0,61
"35",3,0,45
"36",3,0,30
"37",4,0,47
"38",3,0,35
"39",4,0,38
"40",1,0,46
"41",3,0,40
"42",3,0,47
"43",1,1,59
"44",4,0,57
"45",3,0,41
"47",3,0,43
"48",3,0,25
"49",3,0,62
"50",3,0,35
"52",3,0,46
"54",4,0,64
"55",3,0,25
"57",4,0,38
"58",4,0,64
"59",3,0,30
"60",3,0,42
"61",4,0,30
"62",3,0,62
"63",4,0,41
"65",3,0,52
"66",3,0,38
"67",1,0,26
"68",4,0,27
"69",3,0,42
"71",3,0,51
"72",4,0,38
"73",4,0,46
"75",3,1,39
"76",4,0,25
"77",4,0,61
"78",3,0,41
"79",3,0,26
"80",4,0,36
"81",4,0,31
"83",3,0,57
"84",4,1,39
"85",4,0,36
"87",3,0,33
"88",2,0,33
"89",3,0,37
"90",4,0,43
"91",4,0,43
"94",3,1,49
"96",3,0,51
"98",3,0,48
"100",3,0,37
"101",3,0,44
"102",4,0,38
"103",3,0,51
"104",3,0,46
"105",4,0,64
"106",3,0,28
"107",2,0,28
"108",4,1,29
"109",3,0,26
"111",4,0,41
"113",3,0,36
"114",1,0,61
"115",1,1,29
"117",3,0,28
"118",4,0,52
"119",1,0,40
"120",3,0,35
"122",3,1,29
"123",2,0,43
"124",4,0,51
"125",3,0,30
"126",3,0,33
"127",3,0,34
"128",4,0,35
"129",4,0,33
"130",3,0,31
"131",3,0,25
"132",2,0,34
"133",3,0,38
"134",3,0,31
"135",4,0,27
"137",4,1,49
"138",4,0,34
"139",3,0,25
"140",3,1,59
"141",3,0,25
"143",3,0,36
"144",4,0,43
"145",4,0,41
"146",3,0,42
"147",3,0,37
"148",3,0,38
"149",3,0,35
"150",3,0,32
"152",1,0,50
"153",2,0,63
"155",3,0,44
"157",4,0,28
"158",3,0,30
"160",3,0,36
"161",3,0,61
"162",4,0,48
"163",3,0,26
"164",3,0,32
"165",2,0,26
"166",3,0,44
"167",1,0,37
"168",1,0,26
"170",4,0,46
"171",4,0,48
"172",3,0,46
"173",3,0,27
"174",4,0,40
"175",1,0,37
"176",4,1,29
"177",3,1,29
"178",3,0,41
"179",3,0,34
"180",4,0,57
"183",3,0,40
"184",4,0,57
"185",4,0,40
"186",4,0,41
"187",4,1,29
"190",4,0,31
"191",4,0,40
"192",4,1,29
"193",4,0,50
"194",3,0,55
"195",4,0,43
"196",1,0,44
"197",3,0,31
"198",3,0,34
"199",3,0,35
"200",2,0,38
"201",3,0,54
"202",3,0,37
"204",4,0,48
"205",3,0,32
"206",3,0,25
"207",2,0,36
"208",3,0,35
"209",3,0,44
"210",4,0,45
"211",2,0,43
"212",3,1,49
"213",3,0,47
"214",2,0,31
"215",2,0,44
"216",4,0,40
"217",3,1,29
"219",4,0,51
"220",3,0,30
"221",4,0,48
"222",3,0,46
"223",4,0,55
"226",3,0,45
"227",4,0,42
"228",4,0,46
"230",1,0,64
"231",3,0,28
"232",3,0,56
"233",4,0,32
"234",1,0,25
"235",3,1,39
"236",3,0,37
"237",3,0,41
"238",4,0,45
"240",3,0,60
"241",3,0,26
"242",4,0,25
"243",4,0,31
"244",3,1,39
"245",3,0,51
"246",4,0,64
"247",4,0,32
"248",4,0,50
"249",4,0,33
"250",4,0,54
"251",4,0,44
"252",4,0,54
"253",4,0,31
"254",4,0,43
"255",4,0,54
"256",4,0,54
"257",4,1,49
"258",4,0,58
"259",3,0,37
"261",3,0,54
"262",4,0,52
"263",4,0,36
"264",3,0,36
"265",3,0,25
"266",2,0,27
"267",3,0,33
"268",4,0,27
"269",3,0,46
"270",3,0,30
"271",1,0,42
"272",3,0,43
"274",4,1,29
"276",3,0,60
"277",3,0,45
"278",2,0,25
"279",3,0,26
"280",3,0,27
"281",4,0,28
"282",4,0,47
"283",3,0,38
"284",4,1,39
"285",4,0,36
"286",4,0,33
"287",3,1,39
"288",4,0,37
"289",2,0,30
"290",4,0,34
"291",3,1,39
"292",4,0,43
"293",3,1,39
"294",3,0,34
"295",4,0,36
"296",4,0,38
"297",3,0,42
"301",3,0,48
"302",2,0,54
"304",4,1,59
"305",3,0,50
"306",3,0,62
"307",1,0,61
"310",3,0,50
"311",4,0,52
"312",3,0,51
"313",4,1,29
"314",3,0,43
"315",4,0,40
"316",3,0,28
"318",4,0,57
"319",3,0,58
"322",3,0,38
"323",4,0,50
"324",3,1,39
"325",3,0,60
"326",3,0,60
"327",4,0,32
"328",3,1,39
"330",2,0,50
"331",3,0,34
"332",1,1,49
"333",3,0,50
"335",4,0,37
"337",3,0,36
"338",4,0,62
"339",3,0,43
"340",3,0,58
"342",3,0,35
"343",4,0,31
"345",1,0,26
"346",2,0,37
"347",3,0,36
"348",3,0,33
"349",1,0,51
"350",2,0,53
"351",1,0,52
"352",3,0,30
"353",3,1,39
"355",3,0,28
"357",4,1,59
"358",3,0,25
"360",3,0,63
"361",2,0,61
"362",2,0,42
"363",1,0,31
"366",4,0,64
"367",4,0,51
"368",1,1,39
"369",3,0,45
"370",4,0,63
"371",1,0,35
"372",4,0,53
"373",4,0,51
"374",3,0,25
"375",3,0,43
"376",4,0,56
"377",3,0,42
"378",3,0,64
"381",3,0,51
"382",4,0,60
"383",2,0,53
"385",3,1,39
"386",3,0,57
"388",1,0,57
"389",3,0,55
"390",3,0,51
"393",3,0,38
"394",1,0,54
"395",4,0,47
"398",1,0,60
"399",2,0,60
"401",1,0,60
"402",4,1,59
"403",2,0,50
"404",3,0,50
"406",4,0,53
"410",2,0,60
"411",3,0,64
"412",2,0,56
"413",4,0,40
"415",2,0,31
"416",3,0,47
"417",3,0,42
"419",2,0,60
"420",3,0,45
"421",3,0,27
"423",3,0,26
"424",3,0,25
"425",3,0,43
"426",3,0,33
"427",3,0,40
"428",2,0,28
"429",4,0,45
"430",3,0,44
"431",3,0,45
"432",4,0,51
"433",3,0,28
"434",3,0,52
"435",1,1,59
"436",4,0,57
"438",3,0,37
"440",3,0,32
"441",1,0,36
"442",3,1,49
"444",3,0,43
"445",3,0,43
"446",3,0,36
"447",3,0,51
"448",2,0,46
"449",3,0,26
"450",3,0,52
"451",1,0,50
"452",3,0,64
"453",2,0,61
"454",2,0,53
"455",3,0,62
"456",2,0,41
"457",3,0,45
"458",4,0,43
