"","Meaning","NineEnd","Age"
"2",,0,28
"4",4,0,33
"5",4,0,38
"8",4,0,26
"9",3,0,61
"10",3,0,45
"13",,0,43
"15",4,0,57
"16",3,0,38
"17",,0,58
"18",4,1,49
"19",3,1,39
"22",4,0,43
"25",4,0,40
"26",4,0,34
"27",4,0,40
"28",2,0,43
"31",3,0,44
"32",4,0,34
"33",4,0,30
"34",4,0,45
"35",4,0,55
"36",3,0,64
"37",4,0,36
"38",3,0,37
"39",3,0,50
"40",4,0,54
"41",2,1,29
"42",1,0,42
"43",3,0,41
"44",4,0,28
"46",4,0,53
"49",4,0,26
"50",2,0,30
"51",4,0,42
"52",4,0,41
"53",4,0,46
"54",2,0,45
"55",3,0,55
"59",4,0,34
"60",3,0,33
"61",4,0,38
"62",3,1,39
"63",4,0,54
"64",4,0,45
"65",4,0,55
"66",4,0,64
"69",4,0,30
"70",4,0,34
"71",4,0,34
"72",3,0,43
"73",2,0,45
"74",4,0,54
"75",4,0,56
"79",3,0,30
"80",4,0,34
"81",4,1,39
"82",3,0,44
"83",4,0,52
"84",4,0,50
"85",4,0,54
"89",4,0,32
"90",3,0,32
"91",3,0,44
"92",2,0,43
"93",3,0,36
"94",4,0,53
"96",4,0,64
"99",2,1,29
"100",3,0,31
"101",4,1,39
"102",4,0,43
"103",4,0,47
"104",4,0,56
"105",3,0,60
"109",3,0,25
"111",4,0,34
"112",4,0,41
"113",4,0,42
"114",2,0,54
"115",3,0,55
"119",2,1,29
"120",4,0,32
"121",3,0,37
"122",4,0,42
"123",2,0,43
"124",4,0,46
"125",4,0,56
"128",4,0,25
"129",2,0,27
"130",2,0,27
"131",2,0,42
"132",2,0,37
"133",2,0,46
"134",2,0,47
"135",2,0,60
"137",3,0,25
"138",2,0,32
"139",2,0,27
"140",2,0,40
"141",2,0,44
"142",2,0,38
"143",2,0,46
"144",2,0,45
"145",2,0,56
"146",3,0,60
"149",4,0,28
"150",4,0,25
"151",2,0,33
"152",2,0,41
"153",4,0,35
"154",2,0,43
"155",2,0,51
"156",3,0,62
"157",2,0,55
"160",4,0,28
"162",2,0,30
"163",3,0,31
"164",2,0,36
"165",4,0,44
"166",2,0,47
"167",3,0,56
"172",3,0,32
"173",2,0,34
"174",4,0,35
"175",2,0,40
"176",3,0,48
"177",2,0,56
"181",4,0,26
"182",4,0,34
"183",3,0,33
"184",3,0,42
"185",4,0,38
"186",2,1,49
"187",3,0,51
"188",3,0,58
"190",4,0,33
"191",4,0,32
"192",4,1,29
"193",4,0,36
"194",4,1,39
"195",4,0,53
"196",4,0,47
"197",4,0,56
"198",3,0,63
"200",4,0,33
"201",4,0,34
"202",4,0,42
"203",4,0,44
"204",,0,48
"205",3,0,46
"206",3,0,57
"207",3,0,63
"210",4,0,26
"211",4,0,34
"212",4,0,38
"213",4,0,44
"215",3,0,32
"216",3,1,39
"217",4,0,46
"218",4,0,64
"220",2,0,26
"221",2,0,28
"222",3,0,43
"223",3,0,48
"224",4,0,61
"226",4,0,44
"228",3,0,31
"229",3,0,52
"231",2,0,32
"232",4,0,38
"233",4,0,41
"234",4,0,45
"235",1,0,61
"239",4,0,30
"240",1,0,32
"241",4,0,32
"242",4,0,36
"243",2,1,39
"244",3,0,56
"245",4,0,47
"246",2,0,55
"248",3,0,33
"249",2,0,35
"250",3,1,49
"251",2,1,59
"253",4,0,31
"254",3,0,33
"255",4,0,40
"256",4,0,46
"258",4,0,31
"259",3,0,51
"263",3,0,30
"264",4,0,41
"265",3,0,41
"266",4,0,60
"267",4,0,25
"268",4,0,42
"269",4,0,60
"272",3,0,32
"273",4,0,26
"274",4,0,37
"275",4,0,38
"276",4,0,52
"277",4,0,51
"278",4,0,57
"282",4,0,31
"283",4,0,34
"284",3,0,44
"285",4,0,37
"286",3,0,51
"287",4,0,50
"288",4,0,61
"291",4,0,30
"292",4,0,30
"293",4,0,31
"294",4,0,41
"295",4,0,43
"296",4,0,52
"297",4,1,59
"301",4,0,28
"302",4,0,38
"303",2,0,54
"304",3,0,58
"307",4,0,25
"308",4,0,31
"309",4,1,29
"310",4,0,44
"311",4,0,43
"312",4,0,54
"313",4,0,58
"317",4,0,26
"318",4,0,33
"319",4,0,45
"320",4,1,39
"321",3,0,35
"322",4,0,42
"323",2,0,52
"324",4,0,60
"327",4,0,26
"328",4,0,34
"329",2,0,33
"330",2,0,38
"331",4,0,37
"332",2,0,50
"333",4,0,60
"336",4,0,34
"337",4,0,25
"338",3,0,38
"339",3,0,41
"340",4,0,46
"341",4,0,52
"342",3,0,55
