"","Meaning","NineEnd","Age"
"4",3,0,26
"5",3,0,30
"6",3,0,38
"7",4,0,35
"8",3,0,41
"9",2,0,55
"14",3,0,28
"15",4,0,34
"16",4,0,44
"17",2,0,44
"18",3,0,46
"19",2,0,56
"24",3,0,32
"25",3,0,32
"26",2,0,41
"27",4,0,41
"28",3,0,46
"29",3,1,59
"34",3,0,34
"35",3,0,34
"36",4,0,44
"37",3,0,44
"38",3,0,54
"39",3,0,64
"42",3,0,30
"44",3,0,30
"45",3,0,34
"46",3,0,40
"47",3,0,42
"48",3,0,50
"49",3,0,60
"51",4,0,34
"52",4,0,35
"53",,0,34
"54",3,0,43
"55",4,0,43
"56",3,0,35
"57",4,0,45
"58",4,0,46
"59",3,0,55
"63",4,0,32
"64",3,0,42
"65",4,0,44
"66",3,0,54
"67",4,0,50
"68",3,0,55
"69",3,0,56
"73",3,0,34
"74",3,0,44
"75",4,0,43
"76",4,0,46
"77",3,0,50
"78",4,0,48
"79",3,0,63
"83",3,0,33
"84",3,0,34
"85",4,0,34
"86",4,0,35
"87",3,1,39
"88",4,0,47
"89",2,0,64
"93",3,0,33
"94",3,0,42
"95",3,0,44
"96",3,1,49
"97",3,0,45
"98",3,0,45
"99",3,0,45
"103",3,1,49
"104",3,0,25
"105",2,0,57
"106",3,0,55
"107",3,0,52
"112",4,0,31
"113",3,0,28
"114",2,0,35
"115",3,0,35
"116",4,0,46
"117",3,0,60
"121",3,0,33
"122",4,0,34
"123",4,0,36
"124",4,0,40
"125",4,0,42
"126",4,0,51
"127",3,0,62
"131",4,1,29
"132",4,0,30
"133",3,0,36
"134",4,0,42
"135",4,0,46
"136",3,0,47
"137",3,0,61
"138",3,0,27
"141",4,0,28
"142",4,0,28
"143",3,0,25
"144",4,0,40
"145",4,0,54
"146",4,0,55
"149",3,0,34
"150",3,0,34
"151",2,0,33
"152",3,0,42
"153",3,0,41
"154",3,0,46
"155",2,1,59
"158",3,0,34
"159",3,0,32
"160",3,0,28
"161",3,0,37
"162",3,0,37
"163",2,0,52
"164",4,0,56
"166",3,0,34
"167",3,1,39
"168",3,0,40
"169",2,0,50
"170",4,0,27
"171",3,0,33
"172",2,0,58
"174",4,0,30
"175",3,0,33
"176",4,0,34
"177",3,0,44
"178",4,0,43
"179",3,0,37
"180",4,0,52
"181",3,0,58
"185",4,0,32
"186",4,0,30
"187",4,0,41
"188",4,0,44
"189",4,0,44
"190",3,0,51
"191",3,0,56
"194",4,0,32
"195",4,0,33
"196",4,1,29
"197",4,0,43
"198",4,0,45
"199",3,0,50
"200",2,0,58
"203",3,0,34
"204",3,0,30
"205",4,0,33
"206",4,0,40
"208",3,1,29
"209",3,0,32
"210",3,0,40
"211",3,0,47
"212",4,0,62
"215",4,1,29
"216",3,0,33
"217",3,0,58
"219",3,0,34
"220",2,0,28
"221",3,1,39
"222",3,0,42
"223",3,0,46
"224",2,0,53
"225",3,1,59
"226",1,0,63
"228",3,0,32
"229",3,0,36
"230",4,0,53
"234",3,0,25
"235",3,0,34
"236",1,0,41
"237",4,0,36
"238",1,0,50
"239",3,1,49
"240",1,1,59
"243",3,1,29
"244",3,1,29
"246",2,0,44
"247",4,1,39
"248",,0,46
"249",4,0,54
"250",3,0,63
"251",3,0,56
"252",4,0,60
"255",4,0,37
"256",4,0,32
"257",,1,39
"258",,0,43
"259",,0,53
"260",3,1,49
"261",,0,57
"266",4,0,40
"267",4,0,56
"268",4,0,51
"269",4,0,50
"270",4,1,59
"271",4,0,57
"272",4,0,56
"276",4,0,26
"277",4,0,26
"278",4,0,41
"279",4,1,39
"280",4,0,50
"281",4,0,53
"282",4,0,62
"285",4,0,33
"286",4,0,31
"287",4,0,43
"288",3,0,43
"289",4,0,45
"290",3,1,49
"291",3,0,55
"296",4,1,29
"297",2,0,25
"298",4,0,26
"299",2,0,42
"300",4,0,35
"301",4,0,53
"302",4,0,62
"305",3,0,26
"306",4,0,28
"307",3,0,33
"308",3,0,36
"309",3,0,36
"310",4,0,48
"311",3,1,49
"312",4,0,62
"314",4,0,44
"315",4,0,52
"316",2,0,61
"320",3,0,30
"321",3,0,30
"322",2,0,32
"323",4,0,41
"324",3,0,43
"325",3,0,45
"326",4,0,61
"330",3,0,32
"331",3,0,32
"332",2,0,46
"333",2,0,44
"334",2,0,50
"335",2,0,48
"336",2,0,62
"340",4,0,31
"341",3,0,26
"342",2,0,33
"343",2,0,42
"344",3,0,41
"345",2,0,38
"346",3,0,60
"350",3,0,31
"351",4,0,31
"352",4,1,29
"353",4,0,42
"354",2,0,44
"355",4,0,37
"356",3,0,47
"357",4,0,64
"360",3,0,27
"361",3,0,34
"362",3,0,30
"363",4,0,42
"365",4,0,43
"366",3,1,49
"369",4,0,28
"370",4,0,37
"371",3,0,52
"372",3,0,64
"376",3,0,26
"378",3,0,50
"379",4,0,30
"380",3,0,45
"381",3,0,45
"382",2,0,60
"385",4,0,32
"386",2,0,45
"387",2,0,50
"388",3,0,63
"392",3,0,33
"393",4,0,32
"394",3,0,33
"395",3,0,37
"396",4,0,36
"397",4,0,37
"398",4,0,47
"NA",,0,
"402",3,0,32
"403",4,0,33
"404",4,0,33
"405",3,0,38
"406",4,0,42
"407",4,0,43
"408",4,0,50
"409",4,0,62
"413",3,0,32
"414",2,0,27
"415",4,0,40
"416",4,0,37
"417",3,0,45
"418",3,0,45
"419",3,0,60
"422",4,0,26
"423",4,0,32
"424",4,0,37
"425",4,0,45
"426",3,0,56
"429",2,0,32
"430",3,0,43
"431",,0,62
"433",4,0,27
"434",3,0,37
"435",3,0,43
"436",4,0,46
"437",3,0,48
"438",4,0,63
"441",2,0,34
"442",2,0,26
"443",4,0,38
"444",4,0,44
"445",3,0,63
"446",4,0,62
"449",2,0,32
"450",4,0,42
"451",4,0,41
"452",4,0,51
"455",2,0,41
"456",4,0,53
"457",4,0,60
"458",2,0,33
"459",3,0,38
"461",4,0,25
"463",4,0,34
"464",3,0,30
"465",3,0,44
"466",4,0,36
"467",4,0,53
"468",3,0,50
"469",4,0,61
"473",4,0,34
"474",4,0,33
"475",4,0,41
"476",4,0,42
"477",3,0,53
"478",3,0,53
"479",3,0,62
"482",3,0,30
"483",3,0,28
"484",4,0,42
"485",4,0,41
"486",3,0,60
"490",4,1,29
"491",4,0,32
"492",4,0,31
"493",3,0,37
"494",4,0,40
"495",3,0,53
"496",4,0,48
"500",4,0,34
"501",3,0,32
"502",4,0,41
"503",4,0,37
"504",4,0,50
"505",3,0,54
"506",4,0,56
"509",4,0,32
"510",4,0,43
"512",3,0,63
"514",3,0,34
"515",4,0,26
"516",4,1,39
"517",4,0,41
"518",4,0,53
"519",4,0,48
"520",4,0,63
"523",2,1,29
"524",2,0,40
"526",3,0,28
"527",2,0,40
"528",3,0,46
"529",3,0,62
"533",4,0,26
"534",3,0,31
"535",3,0,32
"536",3,0,30
"537",4,0,36
"538",2,0,44
"539",3,0,48
"540",2,0,55
"543",2,0,26
"544",3,1,29
"545",3,0,34
"546",3,0,35
"547",3,1,39
"548",3,0,46
"549",2,0,48
"550",2,0,57
"551",3,0,55
"553",4,0,25
"555",4,0,34
"556",4,0,44
"557",4,0,50
"558",4,0,64
"562",4,0,30
"563",4,0,40
"564",4,0,44
"565",4,0,43
"566",4,0,48
"567",3,0,61
"571",4,0,34
"572",4,0,32
"573",4,0,34
"574",4,0,43
"575",4,0,40
"576",4,0,50
"577",4,0,54
"578",4,0,60
"582",4,0,26
"583",4,0,32
"584",4,1,39
"585",4,0,42
"586",4,0,53
"587",4,0,51
"588",4,0,55
"592",4,0,34
"593",4,0,32
"594",4,0,32
"595",4,0,40
"596",4,0,43
"597",4,0,43
"598",4,0,50
"599",4,0,60
"602",4,1,29
"603",4,0,30
"604",4,0,32
"605",4,0,40
"606",4,0,43
"607",4,0,38
"608",4,0,53
"611",4,1,29
"612",4,0,30
"613",4,0,40
"614",4,1,39
"615",3,0,52
"616",4,0,61
"620",3,0,34
"621",3,0,33
"622",2,1,29
"623",3,0,37
"624",3,1,39
"625",4,0,48
"626",3,0,58
"629",3,0,34
"630",3,0,38
"631",3,0,47
"632",2,0,58
"635",2,0,26
"636",4,0,31
"637",3,0,30
"638",2,0,42
"639",3,0,35
"640",4,0,44
"641",3,0,51
"642",4,0,48
"643",4,0,62
"647",3,0,32
"648",4,0,42
"649",3,0,62
"650",2,0,61
"651",3,0,30
"652",2,0,42
"653",2,0,54
"656",3,0,32
"657",2,0,31
"658",3,0,37
"659",3,0,38
"660",3,0,45
"661",2,0,50
"662",2,0,56
"666",3,0,33
"667",3,0,31
"668",2,0,37
"669",3,1,49
"670",3,0,48
"671",4,0,46
"672",3,0,56
"675",,0,26
"676",3,0,33
"677",3,0,35
"678",3,0,37
"679",3,0,44
"680",2,0,48
"681",2,0,57
"682",3,0,61
"685",4,1,29
"686",2,0,26
"687",3,0,27
"688",3,0,37
"689",4,0,42
"690",3,0,46
"691",2,0,54
"692",3,1,59
"696",3,0,28
"697",4,1,29
"698",,0,34
"699",2,0,40
"700",4,0,43
"701",4,0,51
"702",3,0,53
"706",3,0,27
"707",3,0,27
"709",2,0,33
"710",3,0,42
"711",4,0,36
"712",4,0,46
"713",2,0,53
"715",4,0,31
"716",3,0,36
"717",3,1,49
"718",4,0,61
