"","Meaning","NineEnd","Age"
"1",2,0,58
"3",3,0,55
"6",3,0,60
"7",3,0,36
"8",3,0,34
"9",2,0,40
"10",2,0,56
"11",4,0,54
"13",2,0,32
"16",3,0,27
"17",4,0,32
"18",2,0,43
"19",2,0,34
"22",2,0,45
"24",3,0,26
"25",3,0,37
"26",3,0,38
"27",2,0,55
"30",3,0,35
"31",3,0,27
"32",3,0,54
"33",4,0,35
"35",3,1,29
"36",3,0,64
"38",3,0,26
"39",3,0,41
"40",3,0,48
"41",3,0,51
"43",4,0,61
"46",3,0,26
"47",3,0,32
"49",2,0,46
"50",3,0,62
"51",3,0,40
"53",4,0,31
"54",3,0,38
"55",1,1,29
"56",3,0,54
"58",3,0,35
"61",4,0,64
"62",4,0,28
"63",3,0,33
"66",4,1,29
"67",3,0,34
"69",2,0,44
"70",4,0,46
"71",3,0,51
"73",3,0,35
"74",3,0,34
"75",3,0,45
"76",3,0,40
"77",3,0,64
"78",3,0,62
"79",3,0,42
"80",4,0,32
"82",3,1,49
"83",2,0,37
"85",1,0,27
"86",2,0,62
"87",2,0,42
"88",4,0,51
"89",4,0,36
"90",3,0,28
"91",3,0,30
"92",3,0,52
"93",3,0,43
"94",3,0,53
"96",3,1,29
"97",3,0,50
"98",2,0,34
"100",4,0,44
"102",2,0,34
"104",3,0,51
"106",4,0,27
"107",2,0,53
"108",4,0,27
"109",4,0,54
"110",4,0,56
"111",4,0,44
"112",3,0,54
"113",3,0,64
"115",3,0,26
"117",4,1,29
"122",4,0,50
"123",2,0,38
"124",3,0,46
"125",4,0,60
"127",,0,64
"130",2,0,62
"132",4,0,50
"133",4,0,26
"134",3,1,59
"135",4,0,30
"138",4,0,32
"139",4,0,51
"140",4,1,29
"141",3,0,44
"143",4,0,40
"145",3,0,38
"146",4,0,32
"147",4,0,50
"148",4,0,60
"149",4,0,31
"151",1,0,35
"152",4,0,45
"153",4,0,44
"154",4,0,30
"157",2,0,36
"158",3,0,56
"160",2,0,62
"161",1,0,42
"162",2,0,55
"164",3,0,43
"165",1,1,29
"166",3,0,52
"168",3,0,56
"169",1,0,38
"170",2,0,25
"171",3,0,53
"172",1,0,58
"173",3,0,44
"174",3,0,55
"178",4,0,26
"179",3,0,31
"180",4,0,58
"182",4,0,27
"184",2,0,33
"186",4,1,29
"187",4,1,39
"188",3,0,53
"191",4,0,62
"192",,0,52
"193",2,0,48
"194",4,1,39
"195",4,0,34
"196",2,0,43
"203",3,0,57
"204",4,0,47
"205",4,0,64
"206",4,0,46
"209",3,0,26
"210",4,0,25
"213",3,0,43
"214",3,0,41
"216",2,0,27
"218",2,0,33
"219",2,0,36
"220",,0,32
"221",,0,35
"222",3,0,54
"224",1,0,25
"226",2,0,44
"227",3,0,54
"228",3,1,39
"229",4,0,56
"231",3,0,46
"232",3,0,55
"235",2,0,25
"236",3,0,38
"237",2,0,56
"239",1,0,37
"240",3,0,63
"242",4,1,39
"243",3,0,31
"244",4,0,36
"245",4,0,27
"246",1,0,47
"248",1,1,49
"250",2,0,26
"251",2,0,48
"252",3,0,63
"254",3,0,27
"255",2,0,43
"256",2,0,58
"259",2,0,37
"260",2,0,40
"261",4,0,32
"262",2,0,64
"263",3,0,47
"265",2,0,25
"267",2,0,31
"269",3,0,32
"270",3,0,54
"271",3,0,35
"272",2,0,30
"274",2,0,55
"275",2,0,48
"276",2,0,45
"277",3,0,46
"279",2,1,29
"281",2,0,64
"282",3,0,62
"284",3,0,46
"286",3,0,27
"288",2,0,46
"289",2,0,47
"291",2,0,32
"292",3,1,39
"293",1,0,30
"296",3,0,34
"297",3,0,34
"299",3,0,25
"300",4,0,30
"301",4,0,25
"302",4,0,44
"303",2,0,55
"304",3,0,52
"305",3,0,32
"308",3,0,44
"309",4,0,33
"310",3,1,39
"311",3,0,31
"312",4,0,62
"314",3,0,54
"315",3,0,55
"316",4,0,54
"317",4,0,42
"318",3,0,42
"320",3,0,35
"322",1,0,40
"324",3,0,45
"326",3,0,32
"327",4,0,47
"328",4,1,59
"330",3,0,25
"331",4,0,34
"332",4,0,46
"333",4,0,25
"334",3,1,49
"335",1,0,64
"336",4,0,54
"337",1,0,62
"340",4,0,27
"341",3,0,37
"343",3,0,56
"344",4,0,54
"345",3,0,41
"347",1,0,30
"348",1,0,52
"351",2,0,40
"353",3,0,33
"354",1,0,42
"355",2,0,55
"357",2,0,43
"360",3,0,31
"361",3,0,31
"363",3,1,49
"364",2,0,26
"365",1,0,63
"366",4,0,54
"367",3,0,32
"370",3,0,27
"371",4,0,46
"372",3,0,45
"373",4,1,49
"374",4,0,31
"375",4,0,26
"376",4,1,29
"377",3,0,35
"378",3,0,25
"380",4,1,29
"381",3,0,36
"382",,1,49
"383",3,0,35
"384",,0,32
"387",4,0,34
"392",3,0,38
"393",,0,34
"395",1,1,59
"396",2,0,41
"397",,1,39
"398",,0,47
"399",,0,46
"400",3,0,50
"401",,0,36
"402",,0,34
"403",,0,35
"404",3,0,36
"405",2,0,38
"406",3,0,34
"408",4,0,41
"409",2,0,52
"411",2,0,28
"412",3,0,37
"413",3,0,38
"414",3,0,26
"416",2,1,39
"417",4,0,63
"418",2,0,32
"419",3,0,34
"420",4,0,46
"421",4,0,36
"422",3,0,47
"423",4,0,40
"424",3,0,64
"425",3,0,37
"426",3,0,55
"427",3,1,59
"428",3,0,34
"429",3,0,63
"430",3,0,61
"431",4,0,55
"433",4,0,32
"434",4,0,47
"436",3,1,39
"437",2,0,37
"438",2,0,33
"440",3,0,63
"441",1,0,64
"442",3,0,40
"443",3,0,38
"444",3,0,41
"447",2,0,25
"448",3,0,32
"450",3,0,55
"451",3,0,25
"452",3,0,38
"456",3,0,25
"457",,0,34
"458",4,0,37
"459",2,0,52
"460",4,0,46
"461",3,0,34
"464",3,0,56
"465",,0,38
"466",3,0,27
"470",2,0,42
"471",2,0,28
"472",2,0,54
"473",4,0,26
"474",3,0,30
"475",3,0,37
"476",3,0,55
"477",2,0,35
"478",1,0,57
"480",3,0,40
"483",4,0,26
"484",3,1,29
"485",4,0,31
"486",4,0,36
"487",4,0,34
"488",1,0,64
