"","Meaning","NineEnd","Age"
"3",4,0,26
"4",3,0,28
"5",3,0,35
"6",3,0,36
"7",3,0,41
"8",3,0,44
"9",3,1,59
"12",2,1,29
"13",3,0,30
"14",3,0,30
"15",4,0,31
"16",3,0,40
"17",3,0,44
"18",3,0,47
"19",3,0,52
"25",3,0,30
"26",4,0,36
"27",3,0,44
"28",3,0,47
"29",4,0,55
"33",4,0,31
"34",4,0,32
"35",4,0,42
"36",3,0,46
"37",4,0,55
"42",3,0,28
"43",4,1,29
"44",3,0,32
"45",4,1,39
"46",3,0,40
"47",3,0,44
"48",3,0,55
"49",4,0,63
"50",4,0,25
"55",4,0,25
"56",4,0,25
"57",4,0,28
"58",4,0,28
"59",4,1,29
"64",4,0,28
"65",3,0,45
"66",4,1,49
"67",4,0,51
"68",4,0,61
"69",4,0,62
"70",1,0,44
"71",3,0,31
"72",3,0,32
"73",3,0,32
"74",3,0,33
"75",3,0,37
"76",3,0,46
"77",3,0,48
"78",,0,60
"80",,0,50
"82",3,0,25
"83",3,0,34
"84",3,0,35
"85",3,0,37
"86",3,0,40
"87",3,0,42
"88",3,0,44
"89",,0,64
"91",3,0,27
"92",3,0,30
"93",3,0,33
"94",3,0,36
"95",3,0,41
"96",3,0,43
"97",3,0,44
"98",,1,59
"99",,0,62
"100",,0,62
"101",3,0,32
"102",3,0,32
"103",3,0,33
"104",3,0,33
"105",3,0,34
"106",3,0,34
"107",3,0,35
"108",3,0,37
"109",3,0,38
"110",3,0,38
"111",3,0,38
"112",3,0,40
"113",3,0,40
"114",3,0,41
"115",,0,44
"116",3,0,47
"117",,0,50
"118",,0,60
"119",3,0,62
"120",3,0,34
"122",3,0,25
"123",3,0,34
"124",3,0,38
"125",3,1,39
"126",3,0,40
"127",3,0,40
"128",3,0,44
"129",,0,60
"133",1,0,32
"134",3,0,32
"135",1,0,32
"136",1,0,38
"137",1,0,41
"138",1,0,45
"139",1,0,55
"144",1,0,28
"145",1,0,33
"146",1,0,38
"147",1,0,43
"148",1,0,44
"149",1,0,58
"150",1,0,60
"152",3,0,25
"153",2,0,27
"154",3,1,29
"155",1,0,37
"156",3,0,40
"157",3,0,41
"158",3,0,41
"159",3,0,53
"160",4,0,63
"163",3,0,28
"164",3,0,30
"165",3,0,30
"166",3,0,31
"167",3,0,47
"168",4,1,49
"169",3,0,52
"174",4,0,31
"175",4,0,33
"176",4,0,40
"177",4,0,45
"180",4,0,50
"185",3,0,31
"186",1,0,33
"187",4,0,41
"188",4,0,44
"189",3,0,50
"195",4,0,26
"196",4,0,26
"197",1,0,45
"198",3,0,52
"199",3,0,52
"200",2,0,55
"203",4,1,29
"204",1,0,34
"205",4,0,42
"206",4,0,44
"207",4,1,49
"208",2,0,58
"215",4,0,32
"216",4,0,34
"217",3,0,46
"218",3,1,49
"219",4,0,50
"225",4,0,34
"226",4,0,38
"227",3,0,44
"228",4,1,49
"229",3,1,59
"230",4,0,60
"234",4,0,32
"235",3,0,37
"236",3,0,45
"237",3,0,61
"238",3,0,64
"239",4,0,48
"245",3,0,34
"246",3,1,39
"247",2,0,44
"248",4,0,48
"249",4,1,59
"255",3,0,35
"256",3,0,38
"257",3,0,42
"258",1,0,52
"260",3,0,46
"264",3,0,25
"265",3,0,31
"266",,1,39
"267",3,0,42
"268",3,0,43
"269",4,0,53
"270",4,0,62
"272",4,0,26
"273",3,0,27
"274",2,1,29
"275",3,0,30
"276",4,0,30
"277",4,0,40
"278",4,0,43
"279",3,1,59
"280",4,0,62
"283",3,0,28
"284",4,1,29
"285",2,0,33
"286",3,0,37
"287",4,0,42
"288",4,0,46
"289",4,0,51
"290",4,0,60
"292",,0,25
"293",4,0,25
"294",4,0,28
"295",3,0,32
"296",3,0,32
"297",3,0,45
"298",3,0,45
"299",3,0,60
"300",3,0,60
"303",3,0,28
"304",1,0,30
"305",1,0,32
"306",4,0,36
"307",3,0,44
"308",4,0,48
"309",4,0,53
"313",4,0,27
"314",4,1,29
"315",4,0,32
"316",3,0,34
"317",3,0,41
"318",3,0,47
"319",1,0,58
"320",3,0,62
"324",1,0,38
"325",1,0,38
"326",2,0,41
"327",2,0,46
"328",1,0,48
"329",1,0,55
"335",4,0,31
"336",3,0,33
"337",4,0,40
"338",4,0,45
"339",4,0,56
"345",3,0,32
"346",2,0,35
"347",4,0,48
"348",4,0,61
"349",4,0,40
"350",4,0,60
"354",1,0,30
"355",4,0,35
"356",4,0,42
"357",4,0,47
"358",4,0,54
"359",4,0,60
"362",2,1,29
"363",2,0,30
"364",4,0,31
"365",3,0,44
"366",,0,45
"367",3,0,48
"368",3,0,55
"373",3,0,32
"374",1,0,32
"375",,0,33
"376",4,0,35
"377",2,0,36
"378",3,0,52
"379",3,1,59
"385",3,0,31
"386",3,0,35
"387",4,0,42
