"","Meaning","NineEnd","Age"
"500",,0,43
"501",4,0,32
"502",2,0,27
"503",4,0,34
"505",,0,42
"506",,0,44
"507",4,0,60
"508",2,0,46
"509",1,0,53
"512",4,1,29
"513",2,0,41
"514",4,1,59
"516",4,0,33
"517",4,0,43
"518",2,0,53
"520",4,0,26
"521",4,0,32
"522",1,0,37
"523",4,0,34
"525",,0,35
"527",2,1,59
"529",1,0,35
"530",,0,35
"532",4,0,33
"533",4,0,47
"536",4,0,33
"537",1,0,40
"538",4,0,40
"539",4,0,26
"540",4,0,52
"541",1,0,54
"542",2,0,44
"543",,0,46
"545",1,0,64
"547",2,0,34
"548",4,1,29
"550",4,0,48
"552",2,0,53
"553",,0,27
"554",4,0,46
"555",4,0,50
"556",4,0,41
"557",4,0,54
"559",4,0,61
"561",,0,48
"562",,0,26
"564",2,0,27
"566",,0,50
"568",2,0,25
"570",,1,49
"571",,0,25
"572",4,0,44
"574",,0,60
"576",,0,44
"577",4,1,59
"579",,0,37
"580",2,0,34
"582",4,0,55
"583",4,0,48
"585",1,0,63
"586",4,0,31
"587",4,1,49
"589",4,1,59
"590",,0,53
"591",4,0,48
"592",4,1,49
"594",4,0,40
"595",,0,42
"596",,0,63
"597",4,0,50
"600",,1,29
"601",4,0,56
"603",4,0,28
"604",4,1,39
"606",4,0,48
"607",,0,26
"608",2,0,57
"610",4,0,32
"612",4,0,43
"614",4,0,60
"617",4,0,61
"618",4,1,29
"619",4,1,29
"620",4,0,38
"621",4,0,31
"622",2,0,27
"624",4,0,44
"625",4,0,45
"627",4,0,32
"629",4,0,56
"630",4,0,50
"631",4,0,34
"632",,0,41
"633",2,0,45
"634",1,0,45
"635",,0,54
"636",,0,63
"637",4,1,29
"639",2,0,58
"640",,0,62
"642",4,0,27
"643",4,0,50
"644",4,1,39
"647",4,0,56
"648",4,0,54
"649",4,0,38
"650",2,0,46
"651",2,0,32
"653",,0,60
"654",2,0,44
"655",4,0,57
"656",4,0,31
"657",4,0,61
"658",4,0,35
"660",4,0,27
"661",,0,30
"662",2,0,30
"664",4,1,39
"665",4,0,55
"669",2,0,42
"670",4,0,43
"671",4,0,56
"672",4,0,35
"673",4,0,56
"674",4,0,28
"676",4,0,34
"678",4,0,44
"679",1,0,44
"680",4,0,35
"682",,0,50
"683",4,0,53
"684",4,0,47
"685",4,0,32
"687",4,0,32
"688",1,0,38
"689",2,0,40
"690",4,0,48
"691",1,0,33
"694",4,0,30
"695",4,0,58
"696",4,0,50
"697",4,0,36
"698",4,0,57
"699",4,0,44
"700",4,0,41
"701",4,0,37
"703",4,0,61
"705",2,1,39
"706",1,0,41
"707",4,0,31
"708",4,0,28
"709",4,0,57
"710",4,0,57
"711",,0,37
"712",4,0,33
"713",1,0,51
"714",4,0,38
"715",,1,49
"716",1,0,52
"717",1,0,61
"718",,0,44
"719",4,0,30
"721",4,0,42
"723",4,0,51
"724",4,0,50
"726",,0,32
"727",,0,54
"730",2,0,32
"731",1,0,55
"732",1,0,48
"733",4,0,28
"734",1,0,32
"735",4,0,31
"737",4,0,54
"738",4,0,40
"739",,0,32
"740",4,0,34
"742",1,0,48
"744",4,0,44
"745",,0,27
"746",4,1,29
"747",,0,47
"748",4,0,42
"749",4,0,44
"751",4,1,39
"752",1,0,42
"753",4,0,30
"754",,0,33
"755",4,0,48
"756",,0,62
"758",2,0,51
"760",2,0,43
"761",,0,32
"765",4,1,49
"767",,0,25
"768",4,0,62
"769",1,0,36
"772",4,0,52
"775",4,0,47
"776",4,0,26
"778",1,0,58
"780",,0,47
"783",4,0,41
"785",4,0,63
"787",4,0,46
"788",4,0,44
"789",2,0,38
"790",4,1,39
"791",4,0,48
"792",4,0,41
"794",,0,34
"795",4,1,39
"797",2,0,26
"798",4,0,40
"799",,1,59
"800",1,0,64
"801",,0,46
"802",,1,39
"804",4,0,57
"805",4,0,50
"806",4,0,25
"807",4,0,45
"808",4,0,43
"809",4,0,53
"810",4,0,34
"811",4,0,54
"813",4,0,53
"816",4,0,63
"817",4,0,60
"818",4,0,28
"819",4,0,34
"821",2,0,45
"822",4,0,37
"825",4,0,35
"826",2,0,36
"829",4,1,59
"830",4,0,25
"832",,0,38
"833",4,1,59
"834",4,0,26
"837",4,0,36
"839",,0,64
"840",4,0,28
"841",4,0,64
"842",4,0,37
"844",4,0,28
"848",4,0,38
"849",2,0,60
"850",4,0,26
"851",2,0,63
"853",4,0,45
"854",4,0,37
"855",,0,30
"858",4,0,62
"859",4,0,48
"860",4,0,25
"862",,0,63
"863",1,0,41
"865",2,0,25
"866",4,1,49
"869",1,0,30
"870",4,0,52
"873",4,0,64
"874",,0,27
"875",,0,44
"876",1,0,62
"877",2,0,43
"878",1,0,53
"879",4,0,26
"880",4,0,45
"881",4,0,45
"882",4,0,32
"884",1,0,53
"887",4,0,46
"888",1,1,49
"889",4,0,32
"891",4,0,37
"892",4,0,64
"893",,0,36
"894",,0,64
"895",4,0,25
"896",4,0,47
"899",4,0,31
"900",1,0,47
"901",,0,61
"903",4,0,34
"904",4,1,39
"905",4,0,42
"906",4,0,61
"907",4,0,38
"908",,0,42
"910",1,0,25
"912",2,0,61
"913",4,0,37
"914",2,0,30
"915",4,0,38
"916",4,0,64
"918",4,0,41
"920",,0,62
"921",2,0,38
"922",4,0,31
"925",4,0,30
"926",2,0,32
"927",2,0,31
"928",,0,51
"929",2,0,42
"932",4,0,37
"933",,1,29
"935",4,0,33
"937",1,0,50
"938",,1,29
"939",4,0,40
"940",4,0,50
"941",4,0,38
"942",4,0,42
"943",,0,50
"944",,0,42
"945",4,0,30
"946",4,0,57
"948",4,0,50
"949",4,0,55
"950",4,0,47
"951",4,0,37
"952",4,0,37
"953",,0,41
"956",4,0,64
"957",4,0,36
"959",4,0,61
"961",4,0,60
"962",4,0,33
